Latitude,Longitude,Bedrooms,Bathrooms,Square Feet,Year Built
33.61543776,-112.0657749,4,2,2489,1985
29.75535906,-95.78186894,3,2,2204,1978
25.99643607,-80.2531413,2,2,1355,1982
39.91122786,-83.09327293,4,3,1861,2002
33.44206205,-112.2785877,4,2,1866,2004
32.65949343,-97.73672363,3,3,2284,2017
33.91419965,-84.21939903,5,2,1847,1979
30.05036125,-95.08567685,3,2,1353,2022
33.80316043,-84.73906556,4,2,1606,1992
30.38150448,-95.66449844,3,2.1,1322,2017
32.54143646,-97.2294885,3,3,2598,2019
30.43886656,-95.56919592,3,2,1670,2023
29.95960181,-95.26277163,3,2,1850,2018
35.68734237,-97.44345046,3,2,1500,2022
33.72127949,-112.0451147,3,2,1670,1996
29.83034543,-95.7234497,3,2.1,1806,2020
30.09780672,-95.46636604,3,2,1556,1988
33.10334734,-96.90316566,3,2,1403,2012
32.87026941,-97.10093276,3,2,2365,1987
29.6178138,-95.07962039,4,2.1,2601,2003
33.08047102,-96.65969531,4,3,2484,1990
32.93481494,-97.32372135,4,2,2091,2003
33.1261192,-97.27644876,2,3,1825,2016
29.41739662,-95.42711894,4,3,2228,2023
33.70794626,-85.07146025,5,3,2262,2021
34.02344206,-83.88477402,3,2,1896,2006
29.52478197,-95.45253477,5,4,3634,2021
30.05586215,-95.36019693,4,2.1,2065,2022
32.42674989,-111.1245773,3,4,3304,2018
33.81734041,-84.51429116,3,4,2624,2009
25.59222258,-80.46759206,3,2,1919,2005
29.80499761,-95.85218573,3,2,1881,2018
33.10185194,-97.12336202,3,2,2047,2018
33.79371633,-84.28870831,3,2,1764,1952
33.11762178,-96.82434935,3,2,1710,1992
30.51248749,-94.8275438,3,2,1653,2022
33.09630881,-96.87955884,3,2,1428,1977
29.35876946,-94.98760286,3,2,1421,2015
33.11967806,-97.14142424,4,3,2170,2002
29.39695673,-95.0415249,3,2,1615,2018
33.74186736,-85.04739035,5,3,2273,2021
33.14900805,-96.47348926,3,2,1460,2023
33.10957037,-96.61670736,5,3,2491,1999
29.68185825,-95.64454329,4,2,1642,1976
33.69225626,-84.491132,3,2,1998,1955
34.02518518,-84.20213796,3,2,1414,1986
29.84544655,-95.30978215,4,2,2260,1965
29.58074809,-95.21756177,3,2,1828,1970
30.01668571,-95.32910793,3,2,1528,1971
33.02436294,-96.45821195,4,3,2292,2020
29.68546474,-95.87786872,4,3,2224,2022
33.23262389,-97.11083959,3,2,1444,1957
30.24727989,-95.42831598,3,2,1318,2021
25.87658533,-80.19415474,3,2,1288,1951
29.59005844,-95.76768746,4,2.1,2292,2015
32.59125288,-97.12250685,4,2,1875,1999
29.82678721,-95.3085664,3,1,1102,1950
32.63487533,-97.12362942,3,2,1373,1987
29.48512005,-95.43800015,3,2.1,1781,2015
28.38747422,-81.70552036,4,2,1937,1999
29.7301879,-95.7627859,4,2,1991,2002
32.88318881,-97.27303108,4,2,1874,2002
29.65169091,-95.84925754,3,2.1,2637,2012
33.14732216,-96.80724584,3,2,1533,2008
30.03771098,-95.33621342,3,2,1118,1972
33.07492615,-96.73231313,5,4,2892,2001
29.5654772,-95.61709432,4,2.1,2070,1982
32.97035453,-97.39403682,3,2,1486,2023
29.80249401,-95.819388,4,3,3740,2017
32.67674418,-97.25818727,3,2,1194,1983
30.23395022,-95.45270001,4,2,1581,2023
33.256308,-96.78981492,5,4,4084,2015
29.905585,-95.72456568,3,2,1181,2005
32.76401452,-96.42368553,4,2,1633,2006
29.8033349,-95.03443999,3,2,1526,1998
33.00441554,-96.70336775,3,2,2128,1984
